Date,Open,High,Low,Close
27/02/2014,6799.15,6819.24,6733.54,6810.27
28/02/2014,6810.27,6833.82,6785.54,6809.7
03/03/2014,6809.7,6809.7,6671.89,6708.35
04/03/2014,6708.35,6827.22,6708.35,6823.77
05/03/2014,6823.77,6824.16,6771.5,6775.42
06/03/2014,6775.42,6806.62,6770.95,6788.49
07/03/2014,6788.49,6800.66,6706.38,6712.67
10/03/2014,6712.67,6757,6671.62,6689.45
11/03/2014,6689.45,6718.3,6660.59,6685.52
12/03/2014,6685.52,6685.52,6598.36,6620.9
13/03/2014,6620.9,6631.38,6552.46,6553.78
14/03/2014,6553.78,6553.78,6500.37,6527.89
17/03/2014,6527.89,6592.37,6527.87,6568.35
18/03/2014,6568.35,6628.2,6534.86,6605.28
19/03/2014,6605.28,6609.46,6566.85,6573.13
20/03/2014,6573.13,6573.13,6492.62,6542.44
21/03/2014,6542.44,6572.09,6537.89,6557.17
24/03/2014,6557.17,6568.96,6506.42,6520.39
25/03/2014,6520.39,6604.89,6520.39,6604.89
26/03/2014,6604.89,6643.58,6601.78,6605.3
27/03/2014,6605.3,6605.3,6561.39,6588.32
28/03/2014,6588.32,6631.48,6585.73,6615.58
31/03/2014,6615.58,6658.4,6583.09,6598.37
01/04/2014,6598.37,6660.27,6598.37,6652.61
02/04/2014,6652.61,6672.73,6639.63,6659.04
03/04/2014,6659.04,6680.78,6638.52,6649.14
04/04/2014,6649.14,6706.34,6649.14,6695.55
07/04/2014,6695.55,6695.55,6614.73,6622.84
08/04/2014,6622.84,6625.19,6549.75,6590.69
09/04/2014,6590.69,6654.05,6590.41,6635.61
10/04/2014,6635.61,6688.28,6620.39,6641.97
11/04/2014,6641.97,6641.97,6538.75,6561.7
14/04/2014,6561.7,6583.76,6507.08,6583.76
15/04/2014,6583.76,6594.24,6534.2,6541.61
16/04/2014,6541.61,6596.99,6541.61,6584.17
17/04/2014,6584.17,6627.25,6559.35,6625.25
18/04/2014,6625.25,6627.25,6559.35,6625.25
