Date, Open, High, Low, Close, Volume
10/15/18, 51.812, 52.656, 50.9073, 51.918, 30999824.5350026
10/12/18, 52.20, 52.398, 50.402, 51.756, 36007019.4598947
10/11/18, 51.506, 52.45, 49.806, 50.446, 40838684.3874197
10/10/18, 52.922, 53.102, 49.554, 51.376, 64076399.038854
10/09/18, 51.05, 53.354, 50.66, 52.56, 60302849.0954573
10/08/18, 52.904, 53.552, 49.80, 50.112, 67363248.9895513
10/05/18, 54.93, 54.976, 52.00, 52.39, 89722693.6541596
10/04/18, 58.79, 58.80, 55.534, 56.366, 49071059.2639341
10/03/18, 60.666, 60.92, 58.314, 58.96, 39974939.4003759
10/02/18, 62.79, 63.368, 59.83, 60.204, 58717549.1192368
10/01/18, 61.154, 62.288, 60.21, 62.14, 108887998.36668
09/28/18, 54.052, 55.60, 52.111, 52.954, 168248437.476273
09/27/18, 62.58, 62.992, 61.382, 61.504, 42545419.3618187
09/26/18, 60.382, 62.778, 60.2219, 61.916, 39216079.4117588
09/25/18, 60.00, 60.92, 59.30, 60.198, 22408644.6638703
09/24/18, 59.696, 60.5999, 58.716, 59.936, 24214804.6367779
09/21/18, 59.54, 60.116, 59.074, 59.82, 25252389.6212142
09/20/18, 60.712, 61.196, 58.666, 59.666, 36747104.4487934
09/19/18, 56.102, 60.00, 56.10, 59.804, 41474584.3778812
09/18/18, 59.338, 60.528, 55.10, 56.992, 82737598.758936
09/17/18, 58.008, 60.174, 57.626, 58.968, 34437884.4834317
09/14/18, 57.752, 59.4651, 57.304, 59.04, 33828059.4925791
09/13/18, 57.604, 59.00, 57.036, 57.892, 31701679.5244748
09/12/18, 56.288, 58.50, 55.7293, 58.108, 50077149.2488428
09/11/18, 55.894, 56.40, 54.71, 55.888, 45849944.3122508
09/10/18, 54.652, 57.206, 54.20, 57.10, 71417648.9287352
09/07/18, 52.02, 53.67, 50.451, 52.648, 112459648.313105
09/06/18, 56.96, 58.234, 55.776, 56.19, 37403799.438943
09/05/18, 57.01, 57.356, 55.436, 56.148, 38604104.4209384
09/04/18, 59.388, 59.638, 57.60, 57.79, 41752344.3737148
08/31/18, 60.40, 61.0616, 59.72, 60.332, 26875519.5968672
08/30/18, 60.452, 60.92, 59.544, 60.63, 36083529.4587471
08/29/18, 62.054, 62.37, 60.738, 61.002, 37236959.4414456
08/28/18, 63.682, 63.776, 62.238, 62.372, 38245454.4263182
08/27/18, 63.60, 64.487, 61.762, 63.854, 65396449.0190533
08/24/18, 64.14, 64.77, 63.88, 64.564, 18012819.7298077
08/23/18, 63.828, 65.464, 63.62, 64.02, 25736429.6139536
08/22/18, 64.174, 64.776, 62.934, 64.328, 29729774.5540534
08/21/18, 62.122, 64.958, 61.80, 64.38, 65861149.0120828
08/20/18, 58.3408, 61.70, 57.64, 61.688, 87011698.6948245
08/17/18, 64.70, 65.354, 60.706, 61.10, 94793043.5781044
08/16/18, 67.982, 68.456, 66.764, 67.09, 30320164.5451975
08/15/18, 68.3812, 68.898, 66.428, 67.738, 45506289.3174057
08/14/18, 71.69, 71.8399, 69.42, 69.528, 34932139.4760179
08/13/18, 72.226, 72.638, 69.804, 71.282, 52319399.215209
08/10/18, 70.80, 72.00, 69.20, 71.098, 57760199.133597
08/09/18, 73.11, 73.402, 69.146, 70.49, 85919053.7112142
08/08/18, 73.818, 76.528, 73.424, 74.068, 122855798.157163
08/07/18, 68.768, 77.492, 67.83, 75.914, 154378847.684317
08/06/18, 69.092, 70.996, 68.364, 68.398, 42821654.3576752
08/03/18, 69.562, 71.00, 68.506, 69.634, 68282448.9757633
